// General information: 
//  MT Manager version: 2022.2.0 
//  XDA version: 2022.2.0 build 7381 rev 124627 built on 2023-07-19
// Device information: 
//  DeviceId: 00B4CAF0
//  ProductCode: MTW2-3A7G6
//  Firmware Version: 4.6.0
//  Hardware Version: 2.0.0
// Device settings: 
//  Filter Profile: human(46.1)
//  Option Flags: Orientation Smoother Disabled, Position/Velocity Smoother Disabled, Continuous Zero Rotation Update Disabled, AHS Disabled, ICC Disabled
// Coordinate system: ENU
PacketCounter	Acc_X	Acc_Y	Acc_Z	Gyr_X	Gyr_Y	Gyr_Z	Mat[1][1]	Mat[2][1]	Mat[3][1]	Mat[1][2]	Mat[2][2]	Mat[3][2]	Mat[1][3]	Mat[2][3]	Mat[3][3]
20268	5.286882	-0.097193	8.750831	0.001328	0.007846	0.005669	-0.506689	-0.684073	0.524700	0.796947	-0.603792	-0.017598	0.328848	0.409242	0.851105
20269	5.299768	-0.091767	8.823000	0.003127	0.007800	0.008594	-0.506663	-0.684115	0.524670	0.796973	-0.603758	-0.017618	0.328826	0.409221	0.851124
20270	5.261249	-0.158159	8.835714	-0.000337	0.006489	0.005884	-0.506685	-0.684166	0.524583	0.796978	-0.603751	-0.017633	0.328781	0.409147	0.851177
20271	5.261118	-0.136154	8.809270	0.006499	0.002445	0.000842	-0.506703	-0.684140	0.524599	0.796975	-0.603757	-0.017583	0.328760	0.409183	0.851168
20272	5.261036	-0.135644	8.809327	0.006197	-0.000599	0.001016	-0.506738	-0.684134	0.524573	0.796979	-0.603753	-0.017517	0.328697	0.409197	0.851185
20273	5.275196	-0.085722	8.827686	0.006197	-0.000599	0.001016	-0.506745	-0.684096	0.524616	0.796976	-0.603759	-0.017471	0.328693	0.409253	0.851160
20274	5.285193	-0.117896	8.778389	0.006962	-0.006910	-0.000288	-0.506769	-0.684057	0.524645	0.796976	-0.603761	-0.017392	0.328657	0.409315	0.851144
20275	5.323405	-0.051247	8.765847	0.006340	-0.000540	0.002543	-0.506764	-0.684028	0.524686	0.796981	-0.603755	-0.017353	0.328652	0.409371	0.851119
20276	5.318509	-0.096663	8.795211	0.003010	-0.003254	0.002973	-0.506770	-0.684026	0.524684	0.796988	-0.603747	-0.017324	0.328626	0.409387	0.851121
20277	5.332992	-0.105381	8.743324	0.006785	0.002564	0.003894	-0.506764	-0.684019	0.524699	0.797001	-0.603730	-0.017288	0.328602	0.409424	0.851112
20278	5.275799	-0.083898	8.827343	0.002102	0.002998	0.002750	-0.506792	-0.684040	0.524644	0.797004	-0.603728	-0.017266	0.328552	0.409393	0.851147
20279	5.308664	-0.121530	8.774396	0.008307	0.003861	0.002152	-0.506805	-0.684027	0.524648	0.797013	-0.603717	-0.017208	0.328510	0.409430	0.851145
20280	5.265749	-0.130637	8.833179	0.002884	-0.000389	-0.001781	-0.506865	-0.684002	0.524623	0.796989	-0.603750	-0.017155	0.328475	0.409423	0.851162
20281	5.322598	-0.071254	8.792878	0.006634	0.001042	0.003982	-0.506854	-0.683989	0.524651	0.797002	-0.603733	-0.017122	0.328460	0.409470	0.851145
20282	5.247185	-0.079017	8.807825	0.004835	0.001087	0.001056	-0.506888	-0.683993	0.524613	0.797007	-0.603729	-0.017067	0.328398	0.409469	0.851170
