// General information: 
//  MT Manager version: 2022.2.0 
//  XDA version: 2022.2.0 build 7381 rev 124627 built on 2023-07-19
// Device information: 
//  DeviceId: 00B4CAF0
//  ProductCode: MTW2-3A7G6
//  Firmware Version: 4.6.0
//  Hardware Version: 2.0.0
// Device settings: 
//  Filter Profile: human(46.1)
//  Option Flags: Orientation Smoother Disabled, Position/Velocity Smoother Disabled, Continuous Zero Rotation Update Disabled, AHS Disabled, ICC Disabled
// Coordinate system: ENU
PacketCounter	Acc_X	Acc_Y	Acc_Z	Gyr_X	Gyr_Y	Gyr_Z	Mat[1][1]	Mat[2][1]	Mat[3][1]	Mat[1][2]	Mat[2][2]	Mat[3][2]	Mat[1][3]	Mat[2][3]	Mat[3][3]
19062	4.869472	1.666279	8.787845	0.002777	0.000731	0.002452	0.833512	0.283681	0.474112	-0.398577	0.902997	0.160417	-0.382614	-0.322679	0.865728
19063	4.857126	1.687382	8.812660	0.006353	0.003694	-0.001097	0.833496	0.283699	0.474130	-0.398633	0.902960	0.160482	-0.382592	-0.322765	0.865706
19064	4.867344	1.634191	8.814509	0.002777	0.000731	0.002452	0.833487	0.283706	0.474141	-0.398643	0.902957	0.160478	-0.382600	-0.322769	0.865701
19065	4.834726	1.671959	8.791503	0.004997	0.007319	-0.001044	0.833523	0.283638	0.474119	-0.398574	0.902981	0.160510	-0.382594	-0.322760	0.865707
19066	4.820176	1.660266	8.843151	0.004219	0.006865	0.001646	0.833541	0.283657	0.474075	-0.398583	0.902975	0.160522	-0.382545	-0.322760	0.865728
19067	4.855509	1.688724	8.813293	0.002039	0.003834	-0.001483	0.833580	0.283551	0.474071	-0.398471	0.903022	0.160535	-0.382577	-0.322722	0.865728
19068	4.839143	1.686557	8.831719	0.004817	0.004565	0.000969	0.833592	0.283557	0.474046	-0.398477	0.903016	0.160555	-0.382545	-0.322734	0.865738
19069	4.886902	1.651830	8.836819	0.001603	0.007110	0.000492	0.833660	0.283449	0.473991	-0.398343	0.903073	0.160566	-0.382536	-0.322668	0.865766
19070	4.854035	1.689490	8.813959	0.004219	0.006865	0.001645	0.833679	0.283469	0.473947	-0.398351	0.903067	0.160578	-0.382487	-0.322668	0.865788
19071	4.851441	1.699372	8.781101	0.005139	0.006516	0.003567	0.833674	0.283501	0.473936	-0.398395	0.903043	0.160608	-0.382452	-0.322709	0.865788
19072	4.836905	1.687379	8.832788	0.000066	0.007981	0.002558	0.833692	0.283532	0.473885	-0.398395	0.903048	0.160580	-0.382411	-0.322668	0.865822
19073	4.834505	1.654651	8.859721	0.004220	0.006865	0.001645	0.833761	0.283456	0.473808	-0.398308	0.903076	0.160636	-0.382352	-0.322654	0.865853
19074	4.855635	1.713408	8.821542	0.003120	0.004460	0.001737	0.833770	0.283469	0.473786	-0.398313	0.903074	0.160639	-0.382327	-0.322651	0.865865
19075	4.865421	1.659840	8.823723	-0.000531	0.010281	0.003232	0.833750	0.283622	0.473729	-0.398467	0.903002	0.160663	-0.382210	-0.322718	0.865892
19076	4.850501	1.690130	8.815781	0.002523	0.006760	0.002412	0.833765	0.283648	0.473687	-0.398475	0.902999	0.160657	-0.382169	-0.322703	0.865916
19077	4.831910	1.697353	8.801231	0.002523	0.006760	0.002412	0.833803	0.283627	0.473633	-0.398446	0.903006	0.160690	-0.382118	-0.322701	0.865939
19078	4.849263	1.690274	8.816434	0.002087	0.010036	0.004386	0.833822	0.283681	0.473567	-0.398469	0.902999	0.160671	-0.382051	-0.322672	0.865979
19079	4.844745	1.667153	8.810304	0.005301	0.007490	0.004865	0.833831	0.283697	0.473543	-0.398487	0.902987	0.160695	-0.382014	-0.322692	0.865988
19080	4.847843	1.690483	8.817176	0.001170	0.010384	0.002463	0.833859	0.283735	0.473470	-0.398491	0.902989	0.160677	-0.381948	-0.322655	0.866031
19081	4.850877	1.713794	8.824084	0.004544	0.008814	0.004241	0.833905	0.283684	0.473420	-0.398422	0.903017	0.160690	-0.381920	-0.322621	0.866056
19082	4.785897	1.746092	8.837857	-0.001927	0.010350	0.009907	0.833903	0.283789	0.473359	-0.398475	0.903007	0.160610	-0.381867	-0.322556	0.866104
19083	4.854290	1.603505	8.846928	0.000046	0.006202	0.005868	0.833871	0.283895	0.473353	-0.398584	0.902961	0.160601	-0.381826	-0.322592	0.866108
19084	4.865371	1.673002	8.866656	0.002502	0.004981	0.005724	0.833865	0.283945	0.473333	-0.398620	0.902949	0.160580	-0.381799	-0.322581	0.866124
19085	4.830746	1.719857	8.810601	0.001126	0.006828	0.009088	0.833826	0.284033	0.473348	-0.398702	0.902921	0.160535	-0.381799	-0.322583	0.866124
19086	4.836778	1.642617	8.806334	-0.001329	0.008049	0.009231	0.833819	0.284124	0.473307	-0.398752	0.902911	0.160463	-0.381762	-0.322529	0.866159
19087	4.868039	1.647202	8.770311	0.001496	0.012334	0.005058	0.833874	0.284160	0.473189	-0.398757	0.902904	0.160493	-0.381639	-0.322518	0.866218
19088	4.846470	1.711741	8.826904	-0.001120	0.012579	0.003903	0.833905	0.284218	0.473100	-0.398764	0.902909	0.160449	-0.381563	-0.322454	0.866275
19089	4.843649	1.678663	8.854110	-0.000363	0.011254	0.004527	0.833907	0.284273	0.473062	-0.398795	0.902900	0.160418	-0.381526	-0.322428	0.866301
19090	4.840869	1.688036	8.821475	0.001151	0.008604	0.005774	0.833915	0.284335	0.473010	-0.398826	0.902892	0.160384	-0.381475	-0.322396	0.866336
19091	4.838442	1.655462	8.848364	0.009459	0.006368	0.003956	0.833923	0.284377	0.472973	-0.398896	0.902846	0.160474	-0.381386	-0.322490	0.866340
19092	4.832064	1.642421	8.808958	0.009781	0.008318	0.006552	0.833927	0.284445	0.472924	-0.398966	0.902808	0.160512	-0.381303	-0.322536	0.866359
19093	4.853133	1.659180	8.830612	0.012745	0.011799	0.006990	0.833968	0.284467	0.472838	-0.398996	0.902778	0.160603	-0.381182	-0.322599	0.866389
19094	4.870234	1.652927	8.845812	0.015363	0.011551	0.008145	0.833978	0.284560	0.472764	-0.399101	0.902718	0.160682	-0.381049	-0.322686	0.866415
19095	4.833232	1.668193	8.816429	0.016469	0.013953	0.008051	0.834004	0.284608	0.472690	-0.399169	0.902670	0.160784	-0.380923	-0.322778	0.866437
19096	4.810191	1.652934	8.795575	0.011560	0.016396	0.008333	0.834031	0.284718	0.472575	-0.399261	0.902621	0.160829	-0.380765	-0.322817	0.866491
19097	4.846808	1.672290	8.799225	0.015716	0.015276	0.007425	0.834046	0.284813	0.472491	-0.399377	0.902551	0.160935	-0.380611	-0.322929	0.866517
19098	4.809809	1.645134	8.829640	0.011674	0.011168	0.003767	0.834073	0.284865	0.472414	-0.399431	0.902515	0.161002	-0.380497	-0.322985	0.866547
19099	4.826569	1.638921	8.845028	0.013290	0.018272	0.004250	0.834177	0.284880	0.472220	-0.399433	0.902489	0.161146	-0.380266	-0.323045	0.866626
19100	4.824951	1.682220	8.785931	0.012375	0.018620	0.002327	0.834237	0.284943	0.472076	-0.399478	0.902454	0.161227	-0.380086	-0.323085	0.866689
19101	4.827274	1.663943	8.852872	0.008816	0.017440	0.002561	0.834280	0.285027	0.471950	-0.399556	0.902404	0.161313	-0.379911	-0.323151	0.866742
19102	4.838003	1.643977	8.828831	0.013134	0.017294	0.002951	0.834333	0.285092	0.471818	-0.399609	0.902365	0.161397	-0.379739	-0.323202	0.866798
19103	4.840044	1.668161	8.836102	0.008282	0.023288	-0.003399	0.834460	0.285091	0.471593	-0.399572	0.902359	0.161522	-0.379497	-0.323219	0.866897
19104	4.832331	1.655213	8.797444	0.006394	0.020435	-0.000617	0.834539	0.285133	0.471428	-0.399570	0.902353	0.161565	-0.379326	-0.323201	0.866979
19105	4.812272	1.621132	8.843258	0.014332	0.025016	-0.007088	0.834634	0.285134	0.471258	-0.399567	0.902328	0.161712	-0.379120	-0.323270	0.867044
19106	4.808281	1.631979	8.811022	0.008721	0.020009	-0.005370	0.834730	0.285132	0.471089	-0.399534	0.902327	0.161798	-0.378943	-0.323274	0.867119
19107	4.859998	1.612022	8.856726	0.015445	0.027414	-0.007186	0.834859	0.285153	0.470849	-0.399546	0.902287	0.161993	-0.378648	-0.323367	0.867214
19108	4.791445	1.656025	8.837585	0.018498	0.023890	-0.007996	0.834980	0.285140	0.470642	-0.399528	0.902262	0.162176	-0.378399	-0.323448	0.867292
19109	4.808968	1.683716	8.826740	0.019769	0.027264	-0.006797	0.835145	0.285062	0.470396	-0.399437	0.902264	0.162388	-0.378131	-0.323511	0.867386
19110	4.807255	1.595167	8.783747	0.017157	0.027508	-0.007958	0.835279	0.285061	0.470158	-0.399415	0.902243	0.162559	-0.377857	-0.323570	0.867483
19111	4.767941	1.701874	8.798877	0.018863	0.027607	-0.008725	0.835402	0.285050	0.469947	-0.399406	0.902210	0.162762	-0.377595	-0.323671	0.867559
19112	4.795589	1.675972	8.790208	0.015177	0.027222	-0.013107	0.835556	0.285002	0.469702	-0.399333	0.902211	0.162940	-0.377332	-0.323713	0.867658
19113	4.757046	1.649716	8.821183	0.012530	0.025695	-0.010952	0.835728	0.284902	0.469456	-0.399204	0.902235	0.163120	-0.377087	-0.323733	0.867757
19114	4.816122	1.676724	8.879890	0.014830	0.023494	-0.012386	0.835865	0.284848	0.469245	-0.399135	0.902234	0.163292	-0.376856	-0.323782	0.867839
19115	4.799784	1.709149	8.872146	0.020819	0.021679	-0.009438	0.836006	0.284748	0.469055	-0.399051	0.902230	0.163521	-0.376633	-0.323881	0.867899
19116	4.805417	1.799913	8.825868	0.017576	0.022451	-0.006616	0.836116	0.284743	0.468863	-0.399040	0.902205	0.163689	-0.376401	-0.323958	0.867971
19117	4.787347	1.798957	8.844811	0.009658	0.019647	-0.003465	0.836212	0.284723	0.468703	-0.399002	0.902201	0.163799	-0.376228	-0.323984	0.868036
19118	4.795974	1.746134	8.847724	0.005464	0.018997	0.000750	0.836279	0.284773	0.468553	-0.399008	0.902194	0.163827	-0.376072	-0.323962	0.868112
19119	4.844242	1.743903	8.827403	-0.001427	0.025591	0.005038	0.836318	0.284882	0.468418	-0.399044	0.902189	0.163764	-0.375948	-0.323878	0.868197
19120	4.820218	1.727442	8.807305	-0.002299	0.027705	-0.000207	0.836421	0.284951	0.468190	-0.399012	0.902209	0.163730	-0.375751	-0.323761	0.868326
19121	4.729578	1.710458	8.826916	-0.009226	0.032528	0.007396	0.836538	0.285050	0.467921	-0.398969	0.902246	0.163633	-0.375536	-0.323571	0.868490
19122	4.773428	1.683773	8.800773	-0.010650	0.028174	0.004900	0.836624	0.285167	0.467697	-0.398948	0.902279	0.163502	-0.375368	-0.323377	0.868635
19123	4.741531	1.577568	8.827866	-0.014053	0.027971	0.006423	0.836697	0.285240	0.467522	-0.398881	0.902341	0.163326	-0.375277	-0.323140	0.868762
19124	4.760973	1.592623	8.850724	-0.005891	0.024752	0.003337	0.836775	0.285331	0.467326	-0.398865	0.902363	0.163244	-0.375119	-0.322998	0.868883
19125	4.759948	1.715179	8.869165	-0.006999	0.022351	0.003432	0.836907	0.285262	0.467133	-0.398681	0.902457	0.163170	-0.375021	-0.322794	0.869001
19126	4.736501	1.698293	8.848788	-0.005653	0.018730	0.003397	0.836962	0.285334	0.466989	-0.398666	0.902478	0.163089	-0.374912	-0.322672	0.869094
19127	4.760491	1.737099	8.877608	-0.005218	0.015456	0.001435	0.837022	0.285320	0.466889	-0.398587	0.902524	0.163031	-0.374863	-0.322556	0.869158
19128	4.789857	1.708660	8.868636	-0.001502	0.007075	0.007905	0.837017	0.285396	0.466854	-0.398625	0.902519	0.162965	-0.374835	-0.322504	0.869189
19129	4.769593	1.724836	8.820884	0.001472	0.010550	0.008343	0.836982	0.285536	0.466830	-0.398755	0.902466	0.162938	-0.374773	-0.322527	0.869207
19130	4.742416	1.775681	8.837326	0.000361	0.008151	0.008439	0.836978	0.285619	0.466786	-0.398805	0.902453	0.162886	-0.374729	-0.322489	0.869240
19131	4.756230	1.744628	8.846199	-0.007132	0.002076	0.009618	0.836900	0.285757	0.466842	-0.398929	0.902419	0.162778	-0.374772	-0.322465	0.869230
19132	4.784389	1.682890	8.863576	-0.008041	0.002423	0.007692	0.836877	0.285815	0.466847	-0.398941	0.902435	0.162656	-0.374810	-0.322368	0.869250
19133	4.776716	1.635457	8.850897	-0.007406	0.001895	0.003709	0.836873	0.285786	0.466873	-0.398883	0.902476	0.162569	-0.374882	-0.322278	0.869253
19134	4.770056	1.711405	8.855482	-0.007247	0.002870	0.005004	0.836862	0.285822	0.466870	-0.398876	0.902498	0.162467	-0.374912	-0.322186	0.869274
19135	4.793721	1.759049	8.850563	-0.014219	0.001491	0.006752	0.836818	0.285896	0.466904	-0.398906	0.902511	0.162320	-0.374979	-0.322082	0.869283
19136	4.798030	1.647946	8.873254	-0.012038	0.004517	0.009878	0.836795	0.285980	0.466894	-0.398922	0.902534	0.162153	-0.375015	-0.321943	0.869319
19137	4.781734	1.686419	8.832071	-0.007950	0.010389	0.010222	0.836795	0.286069	0.466838	-0.398951	0.902540	0.162050	-0.374983	-0.321848	0.869369
19138	4.785950	1.618200	8.795029	-0.003361	0.005995	0.007370	0.836787	0.286136	0.466812	-0.398978	0.902542	0.161971	-0.374971	-0.321783	0.869398
19139	4.744615	1.656902	8.862651	-0.000747	0.005748	0.008535	0.836781	0.286140	0.466820	-0.398960	0.902561	0.161910	-0.375004	-0.321726	0.869405
19140	4.760450	1.658948	8.844780	0.000797	0.004874	0.006479	0.836773	0.286195	0.466802	-0.398995	0.902552	0.161872	-0.374986	-0.321701	0.869422
19141	4.795953	1.644540	8.875008	0.000478	0.002924	0.003887	0.836801	0.286115	0.466800	-0.398902	0.902596	0.161857	-0.375022	-0.321650	0.869425
19142	4.745853	1.689213	8.836514	0.005748	0.004201	0.002902	0.836804	0.286136	0.466782	-0.398926	0.902582	0.161878	-0.374990	-0.321672	0.869431
19143	4.747660	1.722164	8.809953	0.001272	0.003373	0.001201	0.836839	0.286079	0.466754	-0.398864	0.902605	0.161901	-0.374978	-0.321657	0.869441
19144	4.763389	1.682357	8.851679	0.001660	-0.001670	0.002557	0.836821	0.286078	0.466787	-0.398870	0.902605	0.161889	-0.375011	-0.321659	0.869426
19145	4.756039	1.635935	8.838600	0.002410	-0.002993	0.003187	0.836806	0.286035	0.466840	-0.398849	0.902612	0.161900	-0.375066	-0.321678	0.869396
19146	4.780019	1.685154	8.833241	0.004791	-0.001648	-0.004872	0.836818	0.285966	0.466860	-0.398805	0.902623	0.161949	-0.375086	-0.321708	0.869376
19147	4.767710	1.706497	8.857692	0.005226	-0.000495	0.002332	0.836845	0.285889	0.466860	-0.398745	0.902639	0.162004	-0.375091	-0.321730	0.869366
19148	4.746240	1.690787	8.836006	0.005658	-0.003767	0.000371	0.836828	0.285861	0.466907	-0.398748	0.902632	0.162036	-0.375125	-0.321774	0.869334
19149	4.766661	1.716634	8.824069	0.001298	-0.005391	0.003283	0.836809	0.285816	0.466968	-0.398728	0.902639	0.162046	-0.375188	-0.321795	0.869300
19150	4.771083	1.739657	8.830238	-0.001359	-0.006914	0.005434	0.836761	0.285824	0.467051	-0.398746	0.902640	0.161994	-0.375277	-0.321785	0.869265
19151	4.741683	1.766805	8.839498	-0.009284	-0.009714	0.008571	0.836676	0.285822	0.467203	-0.398747	0.902664	0.161859	-0.375465	-0.321720	0.869208
19152	4.752766	1.711917	8.841413	-0.010465	-0.005119	0.009901	0.836616	0.285875	0.467277	-0.398769	0.902682	0.161707	-0.375575	-0.321622	0.869197
19153	4.757415	1.733345	8.847780	-0.017638	-0.009242	0.013668	0.836567	0.285803	0.467411	-0.398644	0.902778	0.161476	-0.375818	-0.321415	0.869168
19154	4.758407	1.730812	8.847743	-0.023335	-0.007247	0.016614	0.836472	0.285910	0.467515	-0.398672	0.902819	0.161180	-0.375998	-0.321208	0.869167
