// General information: 
//  MT Manager version: 2022.2.0 
//  XDA version: 2022.2.0 build 7381 rev 124627 built on 2023-07-19
// Device information: 
//  DeviceId: 00B4CBA7
//  ProductCode: MTW2-3A7G6
//  Firmware Version: 4.6.0
//  Hardware Version: 2.0.0
// Device settings: 
//  Filter Profile: human(46.1)
//  Option Flags: Orientation Smoother Disabled, Position/Velocity Smoother Disabled, Continuous Zero Rotation Update Disabled, AHS Disabled, ICC Disabled
// Coordinate system: ENU
PacketCounter	Acc_X	Acc_Y	Acc_Z	Gyr_X	Gyr_Y	Gyr_Z	Mat[1][1]	Mat[2][1]	Mat[3][1]	Mat[1][2]	Mat[2][2]	Mat[3][2]	Mat[1][3]	Mat[2][3]	Mat[3][3]
13147	9.736888	0.333924	-0.846507	0.006913	-0.043115	-0.015351	-0.072831	-0.055728	0.995786	-0.270867	0.962015	0.034027	-0.959858	-0.267247	-0.085159
13148	9.715662	0.354472	-0.870455	0.020019	-0.041800	-0.015004	-0.073170	-0.056003	0.995746	-0.271077	0.961950	0.034183	-0.959773	-0.267423	-0.085567
13149	9.715114	0.380717	-0.820213	0.015058	-0.042463	-0.017003	-0.073507	-0.056398	0.995699	-0.271284	0.961882	0.034455	-0.959688	-0.267584	-0.086005
13150	9.731859	0.371919	-0.852562	0.017049	-0.043295	-0.017203	-0.073855	-0.056698	0.995656	-0.271468	0.961824	0.034635	-0.959610	-0.267730	-0.086427
13151	9.716134	0.379253	-0.804665	-0.000545	-0.041810	-0.013558	-0.074211	-0.057024	0.995611	-0.271424	0.961829	0.034858	-0.959595	-0.267645	-0.086856
13152	9.702412	0.332707	-0.841830	0.001141	-0.048655	-0.021093	-0.074599	-0.057377	0.995562	-0.271458	0.961810	0.035091	-0.959555	-0.267635	-0.087326
13153	9.700050	0.339165	-0.870580	0.005122	-0.050325	-0.021498	-0.075020	-0.057830	0.995504	-0.271682	0.961736	0.035395	-0.959459	-0.267805	-0.087861
13154	9.754631	0.326385	-0.857736	0.011441	-0.051383	-0.024316	-0.075426	-0.058221	0.995450	-0.271818	0.961688	0.035651	-0.959388	-0.267892	-0.088362
13155	9.717985	0.353882	-0.830500	0.013948	-0.053308	-0.028080	-0.075940	-0.058724	0.995382	-0.271917	0.961648	0.035988	-0.959320	-0.267928	-0.088996
13156	9.726936	0.413443	-0.850811	0.016930	-0.051775	-0.025872	-0.076345	-0.059131	0.995327	-0.272107	0.961584	0.036255	-0.959234	-0.268067	-0.089502
